match_id,player_id,position_name,minute,Own Goal For,Own Goal Against,label,match_id,player_id,true,prob,pred
16010,6665,Left Center Back,316,0,0,0,16010,6665,0,0.8646573930780714,1
15978,16210,Left Midfield,1626,0,0,0,15978,16210,0,0.8423000380300433,1
16029,6616,Center Forward,1477,0,0,0,16029,6616,0,0.8165593923391503,1
15946,8206,Right Center Midfield,1934,0,0,0,15946,8206,0,0.8149292154532765,1
15946,6566,Right Center Forward,1811,0,0,0,15946,6566,0,0.80740503769262,1
15978,3042,Left Defensive Midfield,2779,0,0,0,15978,3042,0,0.8062150091964521,1
15986,6826,Left Center Back,1016,0,0,0,15986,6826,0,0.8054287581132203,1
15978,8206,Left Center Midfield,2784,0,0,0,15978,8206,0,0.7962978026123803,1
16023,6998,Left Center Midfield,2342,0,0,0,16023,6998,0,0.7947723279306046,1
15998,6608,Right Wing,3757,0,0,0,15998,6608,0,0.7901248106785778,1
16023,3437,Left Defensive Midfield,2033,0,0,0,16023,3437,0,0.7892264496271032,1
16010,6393,Left Center Forward,3726,0,0,0,16010,6393,0,0.7838170830687632,1
15946,6839,Center Defensive Midfield,1699,0,0,0,15946,6839,0,0.7736914338134318,1
15956,8419,Right Center Forward,3306,0,0,0,15956,8419,0,0.7717898193571839,1
15973,12554,Left Midfield,3055,0,0,0,15973,12554,0,0.7655085470752107,1
16056,6657,Center Forward,2250,0,0,0,16056,6657,0,0.765004809436894,1
16010,6616,Right Wing,1990,0,0,0,16010,6616,0,0.7621493961927996,1
16010,6394,Left Center Forward,2674,0,0,0,16010,6394,0,0.7618686057576048,1
