match_id,player_id,position_name,minute,Own Goal For,Own Goal Against,label,match_id,player_id,true,prob,pred
15978,6679,Right Center Back,4136,0,0,1,15978,6679,1,0.4017173467371929,0
15986,6582,Right Center Forward,3884,0,0,1,15986,6582,1,0.4323708739219485,0
16010,6396,Left Defensive Midfield,2983,0,0,1,16010,6396,1,0.5235843767379975,0
16056,7910,Center Forward,4606,0,0,1,16056,7910,1,0.547016123365055,0
16023,6746,Left Center Back,3405,0,0,1,16023,6746,1,0.5852164011957804,0
16056,6651,Left Center Forward,3387,0,0,1,16056,6651,1,0.6208811350177817,0
15978,6671,Left Defensive Midfield,5406,0,0,1,15978,6671,1,0.6418934079642026,0
15986,6579,Right Center Back,3775,0,0,1,15986,6579,1,0.6498046161016212,0
16023,3457,Right Center Forward,5480,0,0,1,16023,3457,1,0.6771072986990212,0
15973,6826,Left Center Back,4106,0,0,1,15973,6826,1,0.6964018793236132,0
15998,6616,Center Forward,2066,0,0,1,15998,6616,1,0.721121701886012,0
15956,6742,Right Midfield,4109,0,0,1,15956,6742,1,0.7481651389366655,0
